Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Patrik Schick,cz CZE,28,1996,FW,Leverkusen,de Bundesliga,31,19,1684,21,0,21,99.40688018979834,21.5005931198102,98.22064056939502,Leverkusen,,de Bundesliga,
Patrizio Masini,it ITA,23,2001,MF,Genoa,it Serie A,26,16,1538,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Genoa,,it Serie A,
Patson Daka,zm ZAM,25,1998,"FW,MF",Leicester City,eng Premier League,23,6,736,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Leicester City,,eng Premier League,
Pau Cabanes,es ESP,19,2005,"MF,FW","Villarreal,Alavés","es La Liga,es La Liga",16,2,351,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Villarreal,Alavés,es La Liga,es La Liga
Pau Victor,es ESP,22,2001,FW,Barcelona,es La Liga,21,2,319,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Barcelona,,es La Liga,
Paul Akouokou,ci CIV,26,1997,MF,Lyon,fr Ligue 1,2,0,19,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lyon,,fr Ligue 1,
Paul Hennrich,de GER,19,2005,MF,Hoffenheim,de Bundesliga,1,0,12,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hoffenheim,,de Bundesliga,
Paul Nebel,de GER,21,2002,MF,Mainz 05,de Bundesliga,31,26,2345,10,4,14,94.54329774614472,86.98102016607355,93.44602609727166,Mainz 05,,de Bundesliga,
Paul Onuachu,ng NGA,30,1994,FW,Southampton,eng Premier League,25,11,1050,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Southampton,,eng Premier League,
Paul Wanner,de GER,18,2005,"MF,FW",Heidenheim,de Bundesliga,29,20,1771,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Heidenheim,,de Bundesliga,
Paulo Dybala,ar ARG,30,1993,"FW,MF",Roma,it Serie A,24,16,1417,6,3,9,86.71411625148279,79.7153024911032,84.4306049822064,Roma,,it Serie A,
Paweł Dawidowicz,pl POL,29,1995,"DF,MF",Hellas Verona,it Serie A,26,24,1845,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Hellas Verona,,it Serie A,
Pedri,es ESP,21,2002,MF,Barcelona,es La Liga,37,35,2879,4,5,9,78.97390272835112,91.48873072360617,84.4306049822064,Barcelona,,es La Liga,
Pedro,es ESP,37,1987,"FW,MF",Lazio,it Serie A,30,6,1102,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Lazio,,it Serie A,
Pedro Chirivella,es ESP,27,1997,MF,Nantes,fr Ligue 1,30,28,2348,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Nantes,,fr Ligue 1,
Pedro Díaz,es ESP,26,1998,MF,Rayo Vallecano,es La Liga,26,12,1211,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Rayo Vallecano,,es La Liga,
Pedro Neto,pt POR,24,2000,FW,Chelsea,eng Premier League,35,24,2269,4,6,10,78.97390272835112,94.09845788849347,87.18861209964413,Chelsea,,eng Premier League,
Peio Canales,es ESP,19,2005,"MF,FW",Athletic Club,es La Liga,8,2,259,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Athletic Club,,es La Liga,
Pejiño,es ESP,28,1996,FW,Las Palmas,es La Liga,1,0,16,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Las Palmas,,es La Liga,
Pep Chavarría,es ESP,26,1998,"DF,FW",Rayo Vallecano,es La Liga,34,28,2585,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Rayo Vallecano,,es La Liga,
Peque,es ESP,21,2002,"MF,FW",Sevilla,es La Liga,26,14,1134,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Sevilla,,es La Liga,
Pere Milla,es ESP,31,1992,"MF,FW",Espanyol,es La Liga,20,1,456,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Espanyol,,es La Liga,
Petar Stojanović,si SVN,28,1995,MF,Empoli,it Serie A,1,0,3,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Empoli,,it Serie A,
Peter González,do DOM,22,2002,"MF,FW",Getafe,es La Liga,17,2,477,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Getafe,,es La Liga,
Phil Foden,eng ENG,24,2000,"MF,FW",Manchester City,eng Premier League,28,20,1777,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Manchester City,,eng Premier League,
Phil Harres,de GER,22,2002,FW,Holstein Kiel,de Bundesliga,26,17,1544,8,1,9,91.19217081850533,53.084223013048636,84.4306049822064,Holstein Kiel,,de Bundesliga,
Philip Billing,dk DEN,28,1996,MF,"Bournemouth,Napoli","eng Premier League,it Serie A",20,2,381,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Bournemouth,Napoli,eng Premier League,it Serie A
Philipp Hofmann,de GER,31,1993,FW,Bochum,de Bundesliga,32,27,2277,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Bochum,,de Bundesliga,
Philipp Sander,de GER,26,1998,MF,Gladbach,de Bundesliga,27,16,1400,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Gladbach,,de Bundesliga,
Philipp Treu,de GER,23,2000,"MF,DF",St. Pauli,de Bundesliga,33,33,2881,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,St. Pauli,,de Bundesliga,
Phillip Tietz,de GER,27,1997,FW,Augsburg,de Bundesliga,34,19,1686,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Augsburg,,de Bundesliga,
Pierre Ekwah Elimby,fr FRA,22,2002,MF,Saint-Étienne,fr Ligue 1,29,29,2575,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Saint-Étienne,,fr Ligue 1,
Pierre Højbjerg,dk DEN,28,1995,MF,Marseille,fr Ligue 1,30,30,2664,2,4,6,62.30723606168446,86.98102016607355,75.62277580071175,Marseille,,fr Ligue 1,
Pierre Lees-Melou,fr FRA,31,1993,MF,Brest,fr Ligue 1,20,17,1526,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Brest,,fr Ligue 1,
Pierrick Capelle,fr FRA,37,1987,MF,Angers,fr Ligue 1,16,3,483,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Angers,,fr Ligue 1,
Pietro Pellegri,it ITA,23,2001,FW,Empoli,it Serie A,11,5,414,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Empoli,,it Serie A,
Piotr Zieliński,pl POL,30,1994,MF,Inter,it Serie A,26,8,980,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Inter,,it Serie A,
Plamedi Nsingi,cd COD,23,2000,MF,Nantes,fr Ligue 1,1,0,16,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Nantes,,fr Ligue 1,
Pol Lozano,es ESP,24,1999,MF,Espanyol,es La Liga,30,27,1943,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Espanyol,,es La Liga,
Pontus Almqvist,se SWE,25,1999,"FW,MF",Parma,it Serie A,29,10,1112,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Parma,,it Serie A,
Portu,es ESP,32,1992,"FW,MF",Girona,es La Liga,27,6,779,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Girona,,es La Liga,
Prosper Peter,ng NGA,16,2007,"MF,FW",Angers,fr Ligue 1,2,0,27,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Angers,,fr Ligue 1,
Rabby Nzingoula,cg CGO,18,2005,MF,Montpellier,fr Ligue 1,27,20,1689,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Montpellier,,fr Ligue 1,
Rafa Mir,es ESP,27,1997,"FW,MF",Valencia,es La Liga,20,5,753,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Valencia,,es La Liga,
Rafael Bauza,es ESP,19,2005,MF,Espanyol,es La Liga,5,2,183,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Espanyol,,es La Liga,
Rafael Leão,pt POR,25,1999,FW,Milan,it Serie A,34,25,2323,8,8,16,91.19217081850533,97.68683274021352,95.72953736654804,Milan,,it Serie A,
Raheem Sterling,eng ENG,29,1994,"FW,MF",Arsenal,eng Premier League,17,7,499,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Arsenal,,eng Premier League,
Ramón Sosa,py PAR,24,1999,"FW,MF",Nott'ham Forest,eng Premier League,19,1,295,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Nott'ham Forest,,eng Premier League,
Ramón Terrats,es ESP,23,2000,"MF,FW","Villarreal,Getafe","es La Liga,es La Liga",26,16,1350,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Villarreal,Getafe,es La Liga,es La Liga
Randal Kolo Muani,fr FRA,25,1998,FW,"Juventus,Paris S-G","it Serie A,fr Ligue 1",26,15,1518,10,2,12,94.54329774614472,69.42467378410439,90.74733096085409,Juventus,Paris S-G,it Serie A,fr Ligue 1
Randy Nteka,ao ANG,26,1997,FW,Rayo Vallecano,es La Liga,24,16,1129,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Rayo Vallecano,,es La Liga,
Rani Khedira,de GER,30,1994,MF,Union Berlin,de Bundesliga,32,31,2723,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Union Berlin,,de Bundesliga,
Raphaël Guerreiro,pt POR,30,1993,"DF,MF",Bayern Munich,de Bundesliga,23,19,1572,4,4,8,78.97390272835112,86.98102016607355,81.73190984578885,Bayern Munich,,de Bundesliga,
Raphinha,br BRA,27,1996,"FW,MF",Barcelona,es La Liga,36,32,2839,18,9,27,98.84341637010677,98.69513641755634,99.4958481613286,Barcelona,,es La Liga,
Rareş Ilie,ro ROU,21,2003,MF,Nice,fr Ligue 1,2,0,13,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Nice,,fr Ligue 1,
Rareș-Cătălin Burnete,ro ROU,20,2004,FW,Lecce,it Serie A,4,0,28,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lecce,,it Serie A,
Rasmus Højlund,dk DEN,21,2003,FW,Manchester Utd,eng Premier League,32,23,2004,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Manchester Utd,,eng Premier League,
Rassoul Ndiaye,sn SEN,22,2001,MF,Le Havre,fr Ligue 1,27,11,1061,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Le Havre,,fr Ligue 1,
Rayan Cherki,fr FRA,20,2003,"FW,MF",Lyon,fr Ligue 1,30,22,2041,8,11,19,91.19217081850533,99.61447212336893,97.47924080664295,Lyon,,fr Ligue 1,
Rayan Fofana,fr FRA,18,2006,"FW,MF",Lens,fr Ligue 1,2,0,25,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lens,,fr Ligue 1,
Rayan Raveloson,mg MAD,27,1997,"MF,DF",Auxerre,fr Ligue 1,13,7,724,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Auxerre,,fr Ligue 1,
Raúl,es ESP,23,2000,"FW,MF",Osasuna,es La Liga,32,5,750,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Osasuna,,es La Liga,
Raúl Jiménez,mx MEX,33,1991,FW,Fulham,eng Premier League,38,30,2494,12,3,15,96.8564650059312,79.7153024911032,94.66192170818505,Fulham,,eng Premier League,
Raúl Moro,es ESP,21,2002,"MF,FW",Valladolid,es La Liga,33,26,2341,4,5,9,78.97390272835112,91.48873072360617,84.4306049822064,Valladolid,,es La Liga,
Raúl de Tomás,es ESP,29,1994,"DF,FW",Rayo Vallecano,es La Liga,2,0,22,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Rayo Vallecano,,es La Liga,
Reda Belahyane,ma MAR,20,2004,MF,"Hellas Verona,Lazio","it Serie A,it Serie A",28,18,1856,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Hellas Verona,Lazio,it Serie A,it Serie A
Reda Khadra,de GER,23,2001,"MF,FW",Reims,fr Ligue 1,4,0,78,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Reims,,fr Ligue 1,
Reece James,eng ENG,24,1999,"DF,MF",Chelsea,eng Premier League,19,12,1063,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Chelsea,,eng Premier League,
Reiss Nelson,eng ENG,24,1999,FW,"Arsenal,Fulham","eng Premier League,eng Premier League",12,5,490,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Arsenal,Fulham,eng Premier League,eng Premier League
Remi Oudin,fr FRA,27,1996,"MF,FW",Lecce,it Serie A,11,3,299,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lecce,,it Serie A,
Remo Freuler,ch SUI,32,1992,MF,Bologna,it Serie A,37,37,3204,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Bologna,,it Serie A,
Remy Rees-Dottin,eng ENG,18,2006,FW,Bournemouth,eng Premier League,1,0,1,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bournemouth,,eng Premier League,
Renato Tapia,pe PER,29,1995,"MF,DF",Leganés,es La Liga,34,28,2424,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Leganés,,es La Liga,
Renato Veiga,pt POR,21,2003,"DF, DF,MF","Chelsea,Juventus","eng Premier League,it Serie A",20,13,1274,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Chelsea,Juventus,eng Premier League,it Serie A
Riccardo Orsolini,it ITA,27,1997,FW,Bologna,it Serie A,30,23,1878,15,4,19,98.2502965599051,86.98102016607355,97.47924080664295,Bologna,,it Serie A,
Riccardo Sottil,it ITA,25,1999,"FW,MF","Fiorentina,Milan","it Serie A,it Serie A",24,9,956,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Fiorentina,Milan,it Serie A,it Serie A
Richarlison,br BRA,27,1997,FW,Tottenham,eng Premier League,15,4,504,4,1,5,78.97390272835112,53.084223013048636,71.14472123368921,Tottenham,,eng Premier League,
Rico Lewis,eng ENG,19,2004,"DF,MF",Manchester City,eng Premier League,28,21,1893,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Manchester City,,eng Premier League,
Ridle Baku,de GER,26,1998,"DF,MF, FW,MF","Wolfsburg,RB Leipzig","de Bundesliga,de Bundesliga",34,29,2445,4,4,8,78.97390272835112,86.98102016607355,81.73190984578885,Wolfsburg,RB Leipzig,de Bundesliga,de Bundesliga
Ritsu Doan,jp JPN,26,1998,"FW,MF",Freiburg,de Bundesliga,34,33,2862,10,7,17,94.54329774614472,96.17437722419929,96.53024911032028,Freiburg,,de Bundesliga,
Robert Andrich,de GER,29,1994,"MF,DF",Leverkusen,de Bundesliga,23,19,1598,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Leverkusen,,de Bundesliga,
Robert Lewandowski,pl POL,35,1988,FW,Barcelona,es La Liga,34,32,2667,27,2,29,99.88137603795967,69.42467378410439,99.67378410438909,Barcelona,,es La Liga,
Robert Skov,dk DEN,28,1996,"DF,MF",Union Berlin,de Bundesliga,15,11,852,2,2,4,62.30723606168446,69.42467378410439,65.0355871886121,Union Berlin,,de Bundesliga,
Robert Wagner,de GER,21,2003,MF,St. Pauli,de Bundesliga,12,5,407,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,St. Pauli,,de Bundesliga,
Roberto Férnandez,es ESP,22,2002,FW,Espanyol,es La Liga,19,18,1497,6,0,6,86.71411625148279,21.5005931198102,75.62277580071175,Espanyol,,es La Liga,
Roberto Gagliardini,it ITA,30,1994,"MF,DF",Monza,it Serie A,8,0,180,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monza,,it Serie A,
Roberto López,es ESP,24,2000,MF,Leganés,es La Liga,13,3,396,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Leganés,,es La Liga,
Roberto Navarro,es ESP,22,2002,"MF,FW",Mallorca,es La Liga,23,15,1278,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Mallorca,,es La Liga,
Roberto Piccoli,it ITA,23,2001,FW,Cagliari,it Serie A,37,37,3127,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Cagliari,,it Serie A,
Robin Hack,de GER,25,1998,"FW,MF",Gladbach,de Bundesliga,33,27,2172,4,7,11,78.97390272835112,96.17437722419929,89.1459074733096,Gladbach,,de Bundesliga,
Robinio Vaz,fr FRA,17,2007,FW,Marseille,fr Ligue 1,2,0,75,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Marseille,,fr Ligue 1,
Rocco Reitz,de GER,22,2002,MF,Gladbach,de Bundesliga,27,21,1830,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Gladbach,,de Bundesliga,
Rodri,es ESP,24,2000,FW,Betis,es La Liga,3,1,118,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Betis,,es La Liga,
Rodri,es ESP,28,1996,MF,Manchester City,eng Premier League,3,1,73,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Manchester City,,eng Premier League,
Rodrigo Bentancur,uy URU,27,1997,MF,Tottenham,eng Premier League,26,21,1645,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Tottenham,,eng Premier League,
Rodrigo De Paul,ar ARG,30,1994,MF,Atlético Madrid,es La Liga,34,23,2106,3,5,8,72.27164887307237,91.48873072360617,81.73190984578885,Atlético Madrid,,es La Liga,
Rodrigo Gomes,pt POR,21,2003,"DF,FW",Wolves,eng Premier League,25,7,810,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Wolves,,eng Premier League,
Rodrigo Muniz,br BRA,23,2001,FW,Fulham,eng Premier League,31,8,964,8,1,9,91.19217081850533,53.084223013048636,84.4306049822064,Fulham,,eng Premier League,
Rodrigo Riquelme,es ESP,24,2000,"MF,DF",Atlético Madrid,es La Liga,16,4,516,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Atlético Madrid,,es La Liga,
Rodrygo,br BRA,23,2001,"FW,MF",Real Madrid,es La Liga,30,22,1928,6,5,11,86.71411625148279,91.48873072360617,89.1459074733096,Real Madrid,,es La Liga,
Roland Sallai,hu HUN,27,1997,"FW,MF",Freiburg,de Bundesliga,2,0,46,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Freiburg,,de Bundesliga,
Rolando Mandragora,it ITA,27,1997,MF,Fiorentina,it Serie A,29,22,1931,4,3,7,78.97390272835112,79.7153024911032,79.2111506524318,Fiorentina,,it Serie A,
Romain Del Castillo,fr FRA,28,1996,FW,Brest,fr Ligue 1,26,14,1259,6,4,10,86.71411625148279,86.98102016607355,87.18861209964413,Brest,,fr Ligue 1,
Romain Esse,eng ENG,19,2005,MF,Crystal Palace,eng Premier League,7,1,138,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Crystal Palace,,eng Premier League,
Romain Faivre,fr FRA,26,1998,"MF,FW",Brest,fr Ligue 1,20,10,899,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Brest,,fr Ligue 1,
Romano Schmid,at AUT,24,2000,MF,Werder Bremen,de Bundesliga,32,32,2834,5,4,9,83.27402135231317,86.98102016607355,84.4306049822064,Werder Bremen,,de Bundesliga,
Romelu Lukaku,be BEL,31,1993,FW,Napoli,it Serie A,36,35,2843,14,10,24,97.83511269276394,99.22894424673784,99.05100830367735,Napoli,,it Serie A,
Roméo Lavia,be BEL,20,2004,MF,Chelsea,eng Premier League,16,11,797,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Chelsea,,eng Premier League,
Ross Barkley,eng ENG,30,1993,MF,Aston Villa,eng Premier League,20,3,581,3,1,4,72.27164887307237,53.084223013048636,65.0355871886121,Aston Villa,,eng Premier League,
Ross Stewart,sct SCO,28,1996,FW,Southampton,eng Premier League,12,4,389,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Southampton,,eng Premier League,
Ruben Aguilar,fr FRA,31,1993,"DF,MF",Lens,fr Ligue 1,16,13,1124,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Lens,,fr Ligue 1,
Ruben Loftus-Cheek,eng ENG,28,1996,MF,Milan,it Serie A,19,10,1037,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Milan,,it Serie A,
Ruben Vargas,ch SUI,25,1998,"FW,MF, MF,FW","Sevilla,Augsburg","es La Liga,de Bundesliga",19,12,976,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Sevilla,Augsburg,es La Liga,de Bundesliga
Rubén García,es ESP,31,1993,"FW,MF",Osasuna,es La Liga,36,30,2413,5,5,10,83.27402135231317,91.48873072360617,87.18861209964413,Osasuna,,es La Liga,
Rubén Peña,es ESP,33,1991,"FW,DF",Osasuna,es La Liga,25,7,775,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Osasuna,,es La Liga,
Rudy Matondo,fr FRA,16,2008,MF,Auxerre,fr Ligue 1,5,0,66,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Auxerre,,fr Ligue 1,
Rui Modesto,ao ANG,24,1999,"DF,MF",Udinese,it Serie A,20,4,608,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Udinese,,it Serie A,
Ruslan Malinovskyi,ua UKR,31,1993,"MF,FW",Genoa,it Serie A,9,4,383,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Genoa,,it Serie A,
Ryan Christie,sct SCO,29,1995,MF,Bournemouth,eng Premier League,29,27,2117,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Bournemouth,,eng Premier League,
Ryan Fraser,sct SCO,30,1994,"FW,DF",Southampton,eng Premier League,8,4,306,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Southampton,,eng Premier League,
Ryan Gravenberch,nl NED,22,2002,MF,Liverpool,eng Premier League,37,37,3160,0,4,4,19.572953736654803,86.98102016607355,65.0355871886121,Liverpool,,eng Premier League,
Ryan Manning,ie IRL,28,1996,"DF,MF",Southampton,eng Premier League,24,18,1462,0,1,1,19.572953736654803,53.084223013048636,35.55753262158956,Southampton,,eng Premier League,
Ryan Sessegnon,eng ENG,24,2000,"FW,DF",Fulham,eng Premier League,16,7,580,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Fulham,,eng Premier League,
Ryan Trevitt,eng ENG,21,2003,MF,Brentford,eng Premier League,1,0,4,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Brentford,,eng Premier League,
Ryan Yates,eng ENG,26,1997,MF,Nott'ham Forest,eng Premier League,35,18,1915,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Nott'ham Forest,,eng Premier League,
Rémy Cabella,fr FRA,34,1990,"FW,MF",Lille,fr Ligue 1,23,12,1011,1,2,3,47.805456702253856,69.42467378410439,57.147093712930015,Lille,,fr Ligue 1,
Rémy Labeau Lascary,gp GLP,21,2003,"FW,MF",Lens,fr Ligue 1,14,6,637,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Lens,,fr Ligue 1,
Răzvan Marin,ro ROU,28,1996,MF,Cagliari,it Serie A,33,13,1406,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Cagliari,,it Serie A,
Saad El Haddad,ma MAR,19,2005,MF,Venezia,it Serie A,3,0,30,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Venezia,,it Serie A,
Salih Özcan,tr TUR,26,1998,MF,"Wolfsburg,Dortmund","de Bundesliga,de Bundesliga",22,6,744,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Wolfsburg,Dortmund,de Bundesliga,de Bundesliga
Sam Morsy,eg EGY,32,1991,MF,Ipswich Town,eng Premier League,33,31,2751,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Ipswich Town,,eng Premier League,
Sammie Szmodics,ie IRL,28,1995,"FW,MF",Ipswich Town,eng Premier League,20,13,992,4,0,4,78.97390272835112,21.5005931198102,65.0355871886121,Ipswich Town,,eng Premier League,
Samu Costa,pt POR,23,2000,MF,Mallorca,es La Liga,32,31,2649,0,2,2,19.572953736654803,69.42467378410439,47.39027283511269,Mallorca,,es La Liga,
Samuel Amo-Ameyaw,eng ENG,18,2006,"DF,MF, FW,DF","Southampton,Strasbourg","eng Premier League,fr Ligue 1",11,3,348,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Southampton,Strasbourg,eng Premier League,fr Ligue 1
Samuel Bamba,de GER,20,2004,"FW,MF",Bochum,de Bundesliga,5,0,27,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bochum,,de Bundesliga,
Samuel Chukwueze,ng NGA,25,1999,"FW,MF",Milan,it Serie A,26,9,925,3,2,5,72.27164887307237,69.42467378410439,71.14472123368921,Milan,,it Serie A,
Samuel Dahl,se SWE,24,2000,"DF,MF",Roma,it Serie A,2,0,43,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Roma,,it Serie A,
Samuel Edozie,eng ENG,21,2003,"DF,FW",Southampton,eng Premier League,2,0,65,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Southampton,,eng Premier League,
Samuel Essende,cd COD,26,1998,FW,Augsburg,de Bundesliga,30,21,1636,7,2,9,89.35349940688019,69.42467378410439,84.4306049822064,Augsburg,,de Bundesliga,
Samuel Grandsir,fr FRA,27,1996,"MF,FW",Le Havre,fr Ligue 1,6,0,84,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Le Havre,,fr Ligue 1,
Samuel Iling-Junior,eng ENG,20,2003,"FW,MF",Bologna,it Serie A,7,0,118,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Bologna,,it Serie A,
Samuel Lino,br BRA,24,1999,"MF,DF",Atlético Madrid,es La Liga,31,21,1552,3,4,7,72.27164887307237,86.98102016607355,79.2111506524318,Atlético Madrid,,es La Liga,
Samuel Mbangula,be BEL,20,2004,FW,Juventus,it Serie A,23,7,709,3,3,6,72.27164887307237,79.7153024911032,75.62277580071175,Juventus,,it Serie A,
Samuele Birindelli,it ITA,25,1999,"DF,MF",Monza,it Serie A,21,18,1468,3,0,3,72.27164887307237,21.5005931198102,57.147093712930015,Monza,,it Serie A,
Samuele Ricci,it ITA,22,2001,MF,Torino,it Serie A,34,34,2825,1,1,2,47.805456702253856,53.084223013048636,47.39027283511269,Torino,,it Serie A,
Samuele Vignato,it ITA,20,2004,MF,Monza,it Serie A,17,3,470,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Monza,,it Serie A,
Sander Berge,no NOR,26,1998,MF,Fulham,eng Premier League,31,26,2224,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Fulham,,eng Premier League,
Sandi Lovrić,si SVN,26,1998,MF,Udinese,it Serie A,36,31,2308,2,3,5,62.30723606168446,79.7153024911032,71.14472123368921,Udinese,,it Serie A,
Sandro Ramírez,es ESP,29,1995,"FW,MF",Las Palmas,es La Liga,31,25,2034,9,3,12,92.88256227758008,79.7153024911032,90.74733096085409,Las Palmas,,es La Liga,
Sandro Tonali,it ITA,24,2000,MF,Newcastle Utd,eng Premier League,36,28,2630,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Newcastle Utd,,eng Premier League,
Santi Comesaña,es ESP,27,1996,MF,Villarreal,es La Liga,35,30,2560,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Villarreal,,es La Liga,
Santiago Castro,ar ARG,19,2004,FW,Bologna,it Serie A,36,27,2294,8,4,12,91.19217081850533,86.98102016607355,90.74733096085409,Bologna,,it Serie A,
