Details || Player,Details || Nation,Details || Age,Details || Born,Details || Pos,Details || Squad,Details || Comp,Playing Time || MP,Playing Time || Starts,Playing Time || Min,Performance || Gls,Performance || Ast,Performance || G+A,Pct || Gls Percentile,Pct || Ast Percentile,Pct || G+A Percentile,Details || Squad 1,Details || Squad 2,Details || Comp 1,Details || Comp 2
Estanis,es ESP,20,2003,FW,Bologna,it Serie A,1,0,9,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Bologna,,it Serie A,
Esteban Lepaul,fr FRA,24,2000,FW,Angers,fr Ligue 1,28,18,1629,9,0,9,92.88256227758008,21.5005931198102,84.4306049822064,Angers,,fr Ligue 1,
Ethan Mbappé,fr FRA,17,2006,"MF,FW",Lille,fr Ligue 1,10,1,222,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Lille,,fr Ligue 1,
Ethan Nwaneri,eng ENG,17,2007,"FW,MF",Arsenal,eng Premier League,26,11,895,4,2,6,78.97390272835112,69.42467378410439,75.62277580071175,Arsenal,,eng Premier League,
Etienne Eto'o,cm CMR,21,2002,FW,Rayo Vallecano,es La Liga,2,0,40,0,0,0,19.572953736654803,21.5005931198102,14.620403321470937,Rayo Vallecano,,es La Liga,
Evan Ferguson,ie IRL,19,2004,FW,"West Ham,Brighton","eng Premier League,eng Premier League",21,3,402,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,West Ham,Brighton,eng Premier League,eng Premier League
Evanilson,br BRA,24,1999,FW,Bournemouth,eng Premier League,31,28,2319,10,1,11,94.54329774614472,53.084223013048636,89.1459074733096,Bournemouth,,eng Premier League,
Evann Guessand,ci CIV,23,2001,"FW,MF",Nice,fr Ligue 1,33,30,2565,12,8,20,96.8564650059312,97.68683274021352,97.83511269276394,Nice,,fr Ligue 1,
Exequiel Palacios,ar ARG,25,1998,MF,Leverkusen,de Bundesliga,24,11,1155,1,6,7,47.805456702253856,94.09845788849347,79.2111506524318,Leverkusen,,de Bundesliga,
Eybi Nije,se SWE,19,2005,"FW,MF",Torino,it Serie A,16,0,394,1,0,1,47.805456702253856,21.5005931198102,35.55753262158956,Torino,,it Serie A,
Ezequiel Ávila,ar ARG,30,1994,FW,Betis,es La Liga,19,6,677,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Betis,,es La Liga,
Fabian Rieder,ch SUI,22,2002,"MF,FW",Stuttgart,de Bundesliga,21,8,867,1,3,4,47.805456702253856,79.7153024911032,65.0355871886121,Stuttgart,,de Bundesliga,
Fabiano Parisi,it ITA,23,2000,"DF,MF",Fiorentina,it Serie A,26,11,1124,2,0,2,62.30723606168446,21.5005931198102,47.39027283511269,Fiorentina,,it Serie A,
Fabio Carvalho,pt POR,21,2002,"FW,MF",Brentford,eng Premier League,19,3,455,2,1,3,62.30723606168446,53.084223013048636,57.147093712930015,Brentford,,eng Premier League,
